id,Segment
0,3
1,2
2,2
3,2
4,2
5,2
6,2
7,1
8,3
9,0
10,3
11,0
12,2
13,2
14,2
15,2
16,0
17,0
18,3
19,1
20,0
21,1
22,0
23,1
24,0
25,0
26,0
27,0
28,2
29,0
30,1
31,1
32,2
33,3
34,1
35,3
36,1
37,3
38,3
39,3
40,0
41,2
42,2
43,0
44,3
45,0
46,2
47,2
48,0
49,2
50,3
51,0
52,2
53,3
54,2
55,2
56,3
57,2
58,1
59,1
60,1
61,1
62,1
63,2
64,1
65,3
66,2
67,1
68,2
69,2
70,2
71,2
72,2
73,0
74,1
75,3
76,2
77,3
78,0
79,2
80,2
81,2
82,2
83,2
84,0
85,2
86,2
87,3
88,0
89,2
90,1
91,3
92,3
93,2
94,1
95,0
96,2
97,0
98,3
99,1
100,2
101,0
102,1
103,2
104,2
105,2
106,0
107,0
108,2
109,2
110,3
111,1
112,3
113,2
114,0
115,3
116,1
117,0
118,0
119,3
120,1
121,2
122,2
123,3
124,0
125,3
126,3
127,1
128,0
129,1
130,2
131,3
132,0
133,0
134,2
135,0
136,2
137,2
138,2
139,0
140,0
141,0
142,2
143,1
144,1
145,2
146,1
147,2
148,3
149,0
150,3
151,2
152,2
153,1
154,2
155,2
156,2
157,0
158,2
159,3
160,2
161,3
162,2
163,3
164,2
165,0
166,3
167,2
168,2
169,1
170,0
171,2
172,0
173,2
174,3
175,3
176,3
177,0
178,1
179,2
180,0
181,3
182,3
183,3
184,3
185,3
186,2
187,0
188,3
189,2
190,1
191,1
192,2
193,1
194,0
195,3
196,2
197,3
198,0
199,1
200,2
201,1
202,0
203,3
204,2
205,3
206,0
207,3
208,3
209,3
210,3
211,3
212,1
213,1
214,2
215,0
216,3
217,2
218,0
219,2
220,2
221,2
222,1
223,3
224,3
225,3
226,3
227,1
228,3
229,1
230,1
231,2
232,2
233,3
234,2
235,2
236,1
237,3
238,2
239,2
240,3
241,3
242,3
243,2
244,2
245,2
246,3
247,1
248,2
249,2
250,0
251,2
252,1
253,1
254,2
255,2
256,2
257,2
258,2
259,1
260,1
261,0
262,1
263,3
264,0
265,0
266,3
267,2
268,1
269,1
270,3
271,0
272,2
273,1
274,3
275,3
276,3
277,0
278,1
279,3
280,3
281,1
282,0
283,0
284,0
285,1
286,3
287,3
288,0
289,2
290,3
291,2
292,3
293,2
294,3
295,1
296,0
297,0
298,1
299,1
300,2
301,0
302,0
303,0
304,2
305,2
306,0
307,1
308,0
309,1
310,3
311,3
312,2
313,0
314,2
315,0
316,1
317,2
318,1
319,1
320,3
321,0
322,2
323,0
324,2
325,1
326,2
327,0
328,2
329,0
330,0
331,3
332,1
333,1
334,3
335,3
336,2
337,3
338,3
339,2
340,2
341,2
342,1
343,3
344,0
345,3
346,1
347,2
348,1
349,0
350,2
351,1
352,2
353,2
354,2
355,1
356,1
357,0
358,1
359,3
360,1
361,1
362,2
363,1
364,0
365,3
366,2
367,1
368,2
369,1
370,2
371,2
372,1
373,2
374,1
375,2
376,1
377,3
378,0
379,3
380,1
381,3
382,2
383,2
384,0
385,1
386,2
387,2
388,2
389,0
390,1
391,0
392,3
393,3
394,3
395,3
396,3
397,1
398,1
399,3
400,1
401,2
402,1
403,0
404,1
405,3
406,3
407,2
408,0
409,1
410,2
411,1
412,2
413,2
414,2
415,3
416,0
417,2
418,2
419,2
420,2
421,0
422,1
423,1
424,1
425,0
426,1
427,3
428,2
429,2
430,3
431,3
432,0
433,0
434,2
435,0
436,0
437,2
438,2
439,2
440,1
441,2
442,1
443,2
444,2
445,2
446,1
447,1
448,2
449,1
450,2
451,3
452,2
453,0
454,3
455,0
456,3
457,2
458,0
459,3
460,0
461,3
462,1
463,0
464,1
465,1
466,3
467,1
468,1
469,0
470,1
471,0
472,0
473,0
474,3
475,1
476,3
477,3
478,1
479,1
480,2
481,2
482,0
483,2
484,2
485,2
486,3
487,0
488,0
489,0
490,2
491,1
492,0
493,3
494,2
495,3
496,0
497,2
498,1
499,2
500,0
501,1
