ProductID,PredictProductID
10097,22959
10294,9038
11856,41940
12705,22959
13682,9052
15570,40949
15714,15260
16163,22164
19124,42732
20777,57304
22162,20715
23247,45603
23848,17411
24454,49461
24455,8982
2727,38985
2963,24455
31100,31099
3160,23500
33840,35713
34633,31948
35434,5570
35440,30724
35883,35891
36216,38905
36730,41301
38326,35441
39002,37378
39332,34102
40924,40925
4184,9031
4201,4729
4202,4201
42026,22704
4204,4203
42087,3160
42732,26459
4325,4201
43883,34857
44202,44203
47191,11924
54110,2610
56679,45802
5691,3160
57304,54111
58329,21715
6628,42087
8071,42087
8417,35441
9052,9053
