item_id,category,complexity,popularity
1,books,0.5050810017754742,0.16716683290337353
2,furniture,1.1509729350426094,0.8044264366697343
3,electronics,0.8406172023709397,0.33884866826937515
4,clothing,0.7016117628900386,0.2599897490661234
5,electronics,1.0076727926523317,0.7224562500123873
6,clothing,0.896995433058794,0.6562465068584674
7,furniture,1.8198217816560556,0.6698706634121177
8,furniture,0.4945488486178495,0.30600514436195225
9,furniture,1.7547717746602471,0.3093809847064129
10,furniture,0.9392358346654084,0.2987223668070752
11,clothing,0.6794589124046146,0.25637733609606506
12,books,0.7589200573041408,0.6901513053054906
13,clothing,0.35005456213015096,0.8632142967244613
14,electronics,1.0320911098478232,0.7518857227089951
15,furniture,0.7606179468301398,0.8128842703844888
16,furniture,0.45566891548818333,0.46431858617667987
17,electronics,0.8996251556911189,0.6886682158347983
18,clothing,0.4702792873798527,0.4188126164002971
19,books,1.045887246540874,0.572954159771776
20,books,0.5461806395898543,0.5334713618813761
21,electronics,0.8237325386080188,0.25919843062946896
22,books,0.6682322561121739,0.44837088430206773
23,clothing,0.2207783286380693,0.9674400479341159
24,clothing,1.0151158197188799,0.32372223194344785
25,electronics,1.333082477048846,0.22042336265153983
26,clothing,0.8269024161461714,0.47672255946154174
27,furniture,0.7167562433643578,0.8113039622741333
28,electronics,0.9520175715787945,0.6239334068019751
29,clothing,0.5246470931905325,0.7128773445144201
30,electronics,1.6488528901928368,0.2707253633572095
31,books,0.14112537858106258,0.6570533737069494
32,clothing,0.41377632860146213,0.3911503554203264
33,furniture,2.5085323873009115,0.8508730293592908
34,clothing,0.5721467545906589,0.6663689254096625
35,electronics,0.906469413612374,0.27897064999776633
36,electronics,0.46251101340982237,0.15815501185967754
37,clothing,1.026489812051494,0.13836988835832947
38,furniture,0.3842582465960721,0.4342677108851267
39,furniture,1.9691682972660072,0.33926602298888214
40,furniture,2.0386055685826037,0.6814811111162572
41,electronics,0.6717798501479345,0.5494004514807564
42,clothing,0.751118183687864,0.33941735020484265
43,books,0.2245655213852448,0.23431400015515852
44,electronics,0.6944098802702151,0.21447978641870463
