order_id,is_late
cScQTC2vzBda,0
UZ06A6TGCbj1,0
23lwPJJLP2ZM,0
BQYPU8wvOT7f,0
ivoF83ggx92s,0
aDhMwioiaYFq,0
BrVYenHNtsRX,0
64RFXMQygwCE,0
MDW0nXmfYNrE,0
u1wBux0GXBkz,1
GrbKLy2JjPmi,1
PhGDWm5ybBDF,0
k37WasT0znDE,0
Roz9nWTw0P6j,0
Nt8rdUpqe5df,0
yHjUlWRXGDMl,0
du7Tu8olHKHl,0
FJftQbPZhSuL,0
Q6cU4zEjuA9g,0
OrnV2wMPEea9,0
qHAVSp8uEaWf,0
tnqWKZHKzYcO,0
SKCG1SWOEn7E,0
UbsMV8frI0Vo,0
NJkuvb4cdf7K,0
W1CWYtLkCKlR,1
HF4Q53jiDvxe,0
qCRKwnkmX9q8,0
qd2lSv7Q2mHA,0
dysXOybW4jnU,0
uz3oqGaAmw1L,1
rZJqeDgDBVER,0
VRRecF8xAKW3,0
7qVpNwtIEXii,0
WdHD6qHhSUpM,0
Uzu3Hpk8cgS7,0
T0xZ58PJoDfG,0
qsTDOqdBgoZZ,0
OiKca0Kh8mbK,0
Ef5345itA1mQ,0
lB8ueGzlNn0y,0
O0FaZNx0pwuM,0
lfM9NOxfaf2o,0
qhbxTiL3BSOk,1
qJGPP72kg3Xs,0
G0eRwHk09BB7,0
S22VUs3TtDYw,0
XH2d5lsqjfoY,0
Gf2QjYHbeGuv,0
XutmdyQPFJnN,0
Dg894oZM9GkC,0
1H9dR7c2W7lv,1
P9P32Zm3XRjy,0
PyOfod4A5525,0
ImzVCc2Tdj8X,0
W1XpaaZ4JaN5,1
vxRk8wThK7lP,0
qg7soJMPTlkT,0
dy7fTe74a9X0,0
4qUdh9J79SQW,0
FD9c61yBctm7,1
sW6ef5cc5mYN,0
I3gtAV4P03Gp,0
Xy9hrwUxkuI9,0
YjxuwglCCYTg,0
fT5t01tAQbr7,0
d9wf6bLXOZ2J,0
FOKRYibYPXI8,0
63EydOD1qTlF,0
lu9f1jmuefLg,0
hK5BIi5KqVqX,0
f7NmoGQa3TEE,0
KwIepZIcMI3M,0
bDPal5XsorM6,0
ZsCk5C5thrVF,0
S83TE2zdOt1z,0
6PMsMX06MoOQ,0
Z6fB0GiKYFEP,0
kOGwkQkTbd34,0
FLTlrykxxLpW,1
DXANe3RmN8mK,0
XOr4deVMueK5,0
HbnjXymsKJcC,0
5uL8WJZ24yJj,0
3aj3g9ZthiBz,0
VF3P5PNOTsXC,0
XGZ4iN94cweJ,0
TWKuIp5SaUHq,1
w5rDnhUTxznR,0
qixcpY108XnI,0
gbA42v7DcbJX,0
4cmluPrJMFGD,0
WANy0oZmZrLY,0
ptehK2iphyPO,0
UK6QYiUu6Gq0,1
yiphxmeTDm8V,0
YKd7yABNVVg6,0
6QKVXvO6sE7F,0
XFnEU0lhaXOd,1
v42oClXzEO5S,0
rXP7kpXkUMmc,0
ooGMIQ7yBE1m,0
tfCyNqlUj8Yw,0
0awmYSMSiYDO,0
A8mNaaMrqa7y,0
Vxn73jIe6HjI,0
cbuvqoWauAD4,0
Ny4ZFybnr7R8,0
k3ejQ6LrNPIr,0
wMLMD46pnc69,0
k1hiXghVqUyh,0
2bEMUc3B4jsn,0
9HOu1sCQFtU8,0
vOuQX1jCd4AY,0
zridOFQnAkmZ,0
YuM9X4j7l7Nv,0
ela06vNwaSmx,1
POeN78bbRg7H,0
3feu0nSeSmIu,0
DmPpW8euHGV3,0
YiGcbkRLXSr1,0
VFoIqkD1d3tP,0
FrLe7CMF0YW3,0
q4f1w7dALmy4,0
ByLMyiKFKuvj,0
qITn61R25Xjd,0
1WcVJIkZKt1w,1
x4FpBlZUvBUY,0
M2FAx8Cl2QOS,0
YoiUZIqx5onQ,0
BuRCtbnCFNus,1
qzltbOV60BSq,1
aZ4x2K0V5SPa,0
tF5MYgcqejxc,0
eju9TZlYCzKu,0
4VSj779adfUX,0
X4RXb8kM8b2F,0
RuEarNCip7sn,0
E15KYfQD88r3,0
sBz6owc0AX1i,0
aVjthA0JQFMu,0
XjKWjqh71koj,0
3cX2OgPRBTcu,0
2JkHJ1EIWshL,0
KXVK3szNFyhI,0
CMzzOMSagAYM,1
5wJMpouQjymD,0
LHBG79kx42FE,0
SGientEPng5z,0
S1S58UDwgHg7,0
lOZKEuo9r32J,0
twbEoWs4Rsn8,1
BtF0lJG1i2bO,0
wo7R0QX32lPb,0
ciuSApOLboiO,0
jyXS4crwTgpR,0
5mp0RFDRQm2O,1
MZH71gmOgXgH,0
RQ1tKYvP9z6b,0
9W9hzZgNtxcE,0
5fLCCCMnMxn1,1
N3mVy2y4yRBw,1
Dsqkaae4W7IP,0
CGFsc3gAB1x2,0
0BhPpNcu22sW,0
KdzYd7bTCOtP,0
oLslMrnaRX64,0
6gak3MF74Lwo,0
GTtRiJLayjkE,0
8Xcr2VRqgKLG,0
dvC3QrOXfE3K,0
H9Lk7esa6EmF,0
NEo9EhqmBTIv,0
j5tD7qB1XmRz,0
jX6fraZDKClw,0
AaCtmwaLR6me,0
xyD0PoQrKb6R,0
jItctSGeEgap,0
4x2J1Oi3oZjJ,0
va7uuH0lmfzn,0
l4Guyx14RxYC,1
KtJdBTSTgZmv,0
CAcx7SM91jyw,0
UmiHQQpL0G3t,1
vfNxgOtJzNl2,1
TY9a2ycz1Qwu,0
ki184D2OwFOl,0
rGDIME3AJd7y,0
BNCXMF4ihIwy,0
lX5t7hmVS0qI,0
jWGElLsbTJ1F,0
Ml5sf5P5qVuI,0
vgfOfmY8ldzC,0
ISjMzP4ij8cg,0
4aK0yD5mR4p2,0
uxghZmFeQrCa,0
OSrOij7wsdgS,0
z703ZvTS7G4s,0
YyUD4tz5RewB,0
7KyG0yAv9Yie,0
K55LsAKtjfJu,0
TySbeiN8uBFa,1
TxGqVUgvMxpR,0
ClRs8FDUke9N,0
nWqzidNDokQe,1
Sdo45YcEl4Su,0
xB5anoaxN6IQ,0
0bEAy1lU7aaw,0
CHXJypZuZP4c,0
h18h4San225O,0
q1LXBZKAWhXu,0
xVrwx5dhXJDt,0
9TF5qzH5OHkM,0
ft0C1HuedWgJ,0
OWA9ZsfDIW2x,0
O5mrYalwBndM,0
1ORtrmjywLby,0
yskXRcY4Tjf4,0
zEFMmnjw9R11,0
91Ia5YoQqSE0,0
r2Qfdo1fdUVR,0
seMWvyrmJqo2,0
ouczpZQlORZJ,0
eoAOOndbmNIh,0
XV27iRlg5qkR,0
cUIMdjXkl46l,0
ZsVJehXLPFcz,0
YqNNrKMZhXjP,0
2Dcq5zDfHi7D,0
KpaF6iVfKBMz,0
